LocationID,Borough,Zone,service_zone,Cluster
1,EWR,Newark Airport,EWR,Newark Airport
2,Queens,Jamaica Bay,Boro Zone,Queens South
3,Bronx,Allerton/Pelham Gardens,Boro Zone,Bronx South
4,Manhattan,Alphabet City,Yellow Zone,Other Manhattan
5,Staten Island,Arden Heights,Boro Zone,Staten Island
6,Staten Island,Arrochar/Fort Wadsworth,Boro Zone,Staten Island
7,Queens,Astoria,Boro Zone,Queens North
8,Queens,Astoria Park,Boro Zone,Queens North
9,Queens,Auburndale,Boro Zone,Other Queens
10,Queens,Baisley Park,Boro Zone,Other Queens
11,Brooklyn,Bath Beach,Boro Zone,Other Brooklyn
12,Manhattan,Battery Park,Yellow Zone,Other Manhattan
13,Manhattan,Battery Park City,Yellow Zone,Other Manhattan
14,Brooklyn,Bay Ridge,Boro Zone,Brooklyn South
15,Queens,Bay Terrace/Fort Totten,Boro Zone,Other Queens
16,Queens,Bayside,Boro Zone,Other Queens
17,Brooklyn,Bedford,Boro Zone,Other Brooklyn
18,Bronx,Bedford Park,Boro Zone,Bronx South
19,Queens,Bellerose,Boro Zone,Other Queens
20,Bronx,Belmont,Boro Zone,Bronx South
21,Brooklyn,Bensonhurst East,Boro Zone,Other Brooklyn
22,Brooklyn,Bensonhurst West,Boro Zone,Other Brooklyn
23,Staten Island,Bloomfield/Emerson Hill,Boro Zone,Staten Island
24,Manhattan,Bloomingdale,Yellow Zone,Other Manhattan
25,Brooklyn,Boerum Hill,Boro Zone,Other Brooklyn
26,Brooklyn,Borough Park,Boro Zone,Other Brooklyn
27,Queens,Breezy Point/Fort Tilden/Riis Beach,Boro Zone,Other Queens
28,Queens,Briarwood/Jamaica Hills,Boro Zone,Queens South
29,Brooklyn,Brighton Beach,Boro Zone,Brooklyn South
30,Queens,Broad Channel,Boro Zone,Other Queens
31,Bronx,Bronx Park,Boro Zone,Bronx South
32,Bronx,Bronxdale,Boro Zone,Bronx South
33,Brooklyn,Brooklyn Heights,Boro Zone,Other Brooklyn
34,Brooklyn,Brooklyn Navy Yard,Boro Zone,Other Brooklyn
35,Brooklyn,Brownsville,Boro Zone,Other Brooklyn
36,Brooklyn,Bushwick North,Boro Zone,Brooklyn North
37,Brooklyn,Bushwick South,Boro Zone,Brooklyn North
38,Queens,Cambria Heights,Boro Zone,Other Queens
39,Brooklyn,Canarsie,Boro Zone,Other Brooklyn
40,Brooklyn,Carroll Gardens,Boro Zone,Other Brooklyn
41,Manhattan,Central Harlem,Boro Zone,Upper Manhattan
42,Manhattan,Central Harlem North,Boro Zone,Upper Manhattan
43,Manhattan,Central Park,Yellow Zone,Other Manhattan
44,Staten Island,Charleston/Tottenville,Boro Zone,Staten Island
45,Manhattan,Chinatown,Yellow Zone,Lower Manhattan
46,Bronx,City Island,Boro Zone,Bronx South
47,Bronx,Claremont/Bathgate,Boro Zone,Bronx South
48,Manhattan,Clinton East,Yellow Zone,Other Manhattan
49,Brooklyn,Clinton Hill,Boro Zone,Other Brooklyn
50,Manhattan,Clinton West,Yellow Zone,Other Manhattan
51,Bronx,Co-Op City,Boro Zone,Bronx South
52,Brooklyn,Cobble Hill,Boro Zone,Other Brooklyn
53,Queens,College Point,Boro Zone,Other Queens
54,Brooklyn,Columbia Street,Boro Zone,Other Brooklyn
55,Brooklyn,Coney Island,Boro Zone,Other Brooklyn
56,Queens,Corona,Boro Zone,Other Queens
57,Queens,Corona,Boro Zone,Other Queens
58,Bronx,Country Club,Boro Zone,Bronx South
59,Bronx,Crotona Park,Boro Zone,Bronx South
60,Bronx,Crotona Park East,Boro Zone,Bronx South
61,Brooklyn,Crown Heights North,Boro Zone,Other Brooklyn
62,Brooklyn,Crown Heights South,Boro Zone,Other Brooklyn
63,Brooklyn,Cypress Hills,Boro Zone,Other Brooklyn
64,Queens,Douglaston,Boro Zone,Other Queens
65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone,Other Brooklyn
66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone,Other Brooklyn
67,Brooklyn,Dyker Heights,Boro Zone,Other Brooklyn
68,Manhattan,East Chelsea,Yellow Zone,Midtown Manhattan
